title,director1,director2,domestic,distributor,release,genre,runtime,rating,budget,worldwide,actor1,actor2,actor3,actor4,actor5,actor6,producer1,producer2,producer3,producer4,producer5,producer6,writer1,writer2,composer1,composer2
$9.99,N/A,N/A,"$62,800",Regent Releasing,"December 12, 2008",Animation,1 hrs. 18 min.,R,N/A,"$708,354",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
$upercapitalist,N/A,N/A,"$18,400",Truly Indie,"August 10, 2012",Thriller,1 hrs. 36 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
(500) Days of Summer,b'Marc Webb',N/A,"$38,921,300",Fox Searchlight,"July 17, 2009",Romance,1 hrs. 35 min.,PG-13,$7.5 million,"$60,722,734",b'Zooey Deschanel',b'Joseph Gordon-Levitt',b'Chloe Moretz',b'Clark Gregg',b'Minka Kelly*',N/A,b'Mason Novick',b'Mark S. Waters',N/A,N/A,N/A,N/A,b'Scott Neustadter',b'Michael H. Weber',b'Mychael Danna',b'Rob Simonsen'
(Untitled),N/A,N/A,"$271,800",Samuel Goldwyn,"October 23, 2009",Comedy,1 hrs. 36 min.,R,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
...And Justice for All,N/A,N/A,"$119,004,400",Columbia,"October 19, 1979",Drama,1 hrs. 59 min.,R,N/A,N/A,b'Craig T. Nelson*',b'Al Pacino',N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,b'Barry Levinson',N/A,N/A,N/A
1+1=11,N/A,N/A,"$197,100",Eros,"March 28, 2003",Unknown,N/A,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"1,000 Rupee Note",N/A,N/A,"$2,500",Kino Lorber,"September 23, 2016",Drama,1 hrs. 29 min.,Unrated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"1,000 Times Good Night",N/A,N/A,"$58,200",Film Movement,"October 24, 2014",Foreign,1 hrs. 57 min.,Unrated,N/A,"$53,895",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,N/A,N/A,"$267,547,300",Warner Bros.,"October 5, 1979",Romantic Comedy,2 hrs. 1 min.,R,N/A,N/A,b'Julie Andrews',N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10 Cloverfield Lane,N/A,N/A,"$75,121,100",Paramount,"March 11, 2016",Thriller,1 hrs. 45 min.,PG-13,N/A,"$110,216,998",b'Mary Elizabeth Winstead',b'John Goodman',N/A,N/A,N/A,N/A,b'J.J. Abrams',N/A,N/A,N/A,N/A,N/A,b'Damien Chazelle',N/A,N/A,N/A
